p (mbar),VPact (mbar),Tdew (degC),T (degC),max. wv (m/s),NSwind,EWwind,year,month,day,hour
989.99,5.02,-2.66,-1.44,2.38,-0.9342044743210296,-0.356737999319625,2009,1,4,6
989.95,4.99,-2.73,-0.72,3.88,-0.4685835048888981,-1.6341448830951422,2009,1,4,9
988.94,5.13,-2.36,-1.21,3.88,-1.3873585546805838,-1.4266521092244604,2009,1,4,12
987.03,5.07,-2.52,-0.7,1.88,-0.2176101795849717,-0.5698647293358279,2009,1,4,15
986.15,4.99,-2.73,-1.51,2.5,-1.1101033589657372,-0.8365228821813467,2009,1,4,18
985.45,5.08,-2.51,-1.51,4.13,-1.4371672749840585,-1.227456811344047,2009,1,4,21
985.07,5.1,-2.45,-1.47,3.0,-0.714288324214933,-1.227270218774261,2009,1,5,0
985.1,4.77,-3.34,-1.5,5.38,-0.620529123790928,-2.996421800502603,2009,1,5,3
985.97,4.72,-3.48,-1.76,3.63,-0.11873944718544216,-1.8361647376208095,2009,1,5,6
988.42,4.42,-4.35,-3.11,4.63,-1.5954829515408866,-0.21571775852344946,2009,1,5,9
990.42,4.04,-5.54,-3.65,8.38,5.237631980474331,1.64539090708334,2009,1,5,12
991.8,3.74,-6.54,-5.14,8.25,5.079565394574224,2.5193085166854834,2009,1,5,15
994.25,3.2,-8.55,-6.85,9.25,5.935784622276206,2.2275683868176355,2009,1,5,18
996.43,2.15,-13.51,-10.18,5.75,3.705302644379346,0.6954367789780939,2009,1,5,21
997.6,1.89,-15.07,-12.63,2.63,1.5950677339730048,-0.125534553164553,2009,1,6,0
998.22,1.77,-15.8,-13.89,4.13,2.147366082180201,-0.2332786083250088,2009,1,6,3
998.22,1.64,-16.73,-15.37,2.0,0.51119511501585,0.5623873703986709,2009,1,6,6
998.35,1.57,-17.25,-15.71,1.0,-0.4303849443228745,-0.09148114395981399,2009,1,6,9
997.79,1.6,-17.02,-14.52,4.5,3.1308458689619942,1.3763008918124027,2009,1,6,12
996.27,1.77,-15.83,-12.05,2.38,1.7757328391472773,0.5862362015211535,2009,1,6,15
995.91,1.43,-18.34,-16.49,3.38,-0.9436649722792568,-2.551057902144361,2009,1,6,18
995.5,1.2,-20.34,-18.62,1.0,-0.34746506967530594,-0.042047893592126614,2009,1,6,21
994.51,0.95,-23.01,-21.09,1.0,-0.47019611980768505,0.09651740215006323,2009,1,7,0
993.75,0.81,-24.8,-22.76,2.75,-1.6461907354879801,0.7993472727128951,2009,1,7,3
992.37,0.86,-24.14,-22.13,2.0,-0.8099000723101452,-0.012722927022574576,2009,1,7,6
992.14,0.93,-23.29,-21.17,1.38,-0.7504779207044757,-0.24674458562466312,2009,1,7,9
992.05,1.39,-18.64,-16.5,1.13,-0.5590714173038559,-0.032235855097357845,2009,1,7,12
991.85,2.35,-12.38,-10.57,1.63,-0.4613813909453408,0.5657094767540513,2009,1,7,15
993.53,2.96,-9.52,-7.98,1.38,-0.49394169850520686,0.6165400217972806,2009,1,7,18
996.09,2.95,-9.57,-8.44,0.75,0.019245903966432554,0.22919335762738602,2009,1,7,21
998.53,2.45,-11.88,-10.78,0.75,-0.355308663700469,-0.10322670923451469,2009,1,8,0
1000.98,2.03,-14.16,-12.96,0.5,-0.10555782874399396,0.05707490508843306,2009,1,8,3
1002.15,2.31,-12.62,-11.4,0.75,-0.28833635269318486,-0.18017254983928965,2009,1,8,6
1003.95,2.55,-11.4,-10.04,1.0,-0.5000798599758878,-0.22895443574322055,2009,1,8,9
1004.33,2.92,-9.69,-6.84,3.5,-1.7720622801379278,1.1818186304642382,2009,1,8,12
1003.44,3.45,-7.59,-4.27,2.13,-1.3667243215138967,0.2533073804340853,2009,1,8,15
1003.85,2.93,-9.65,-8.65,0.88,-0.44097660433406477,-0.3286938308365366,2009,1,8,18
1004.11,2.26,-12.86,-11.59,1.5,-0.8647551409174464,-0.6635499576195055,2009,1,8,21
1003.66,1.89,-15.06,-13.91,1.5,-0.789084084834691,-0.6142852000989428,2009,1,9,0
1003.5,1.58,-17.16,-15.74,1.0,-0.5340333614700108,0.2948022537855516,2009,1,9,3
1003.12,1.45,-18.22,-16.64,1.25,-0.7729346660981843,0.24222304172743048,2009,1,9,6
1003.32,1.49,-17.85,-16.18,2.5,-0.9056393526676204,0.5313354523272219,2009,1,9,9
1003.27,2.19,-13.24,-10.47,2.0,-0.8287221313336212,0.3759250311403332,2009,1,9,12
1002.12,2.79,-10.28,-3.69,1.63,-0.9421212881580452,-0.4635811454313319,2009,1,9,15
1002.76,2.62,-11.04,-9.15,1.88,-1.0342748526925012,-0.3440574502723416,2009,1,9,18
1003.24,2.26,-12.88,-11.73,1.0,-0.20157567469836346,0.5117296623901135,2009,1,9,21
1003.63,1.97,-14.57,-13.24,1.0,-0.4853496369867713,0.06734782755820207,2009,1,10,0
1003.84,1.74,-16.06,-14.61,0.88,-0.4446601186489463,-0.15224118655313032,2009,1,10,3
1003.26,1.65,-16.69,-15.22,1.38,-0.8889872780171972,-0.6132712446573495,2009,1,10,6
1003.89,1.59,-17.12,-15.09,1.63,-0.6349169141008172,0.5499822835225654,2009,1,10,9
1003.13,2.32,-12.57,-7.48,1.63,-0.8565177665777599,0.15256905170002863,2009,1,10,12
1002.16,3.09,-8.99,-2.24,1.13,-0.6175708400116847,-0.1245241244388497,2009,1,10,15
1002.16,2.93,-9.65,-7.7,0.38,-0.07791738214969818,-0.07764587277465491,2009,1,10,18
1002.27,2.55,-11.39,-10.31,2.38,-1.428782670850463,-0.34565890626080764,2009,1,10,21
1002.72,2.48,-11.76,-10.75,1.88,-0.24945049123308066,0.6966882031609081,2009,1,11,0
1003.82,2.27,-12.8,-11.71,0.75,0.05472595096658828,0.1714790666256455,2009,1,11,3
1003.54,2.14,-13.56,-12.45,4.25,-2.4849593808685593,-0.35366209216333233,2009,1,11,6
1004.55,2.25,-12.96,-11.55,1.13,-0.5399177553844513,-0.009424299476132925,2009,1,11,9
1005.07,2.64,-10.97,-7.12,2.5,-1.018680470583409,0.3587340224344,2009,1,11,12
1003.35,3.43,-7.65,-1.31,3.5,-1.827591458407356,-0.6507760453154938,2009,1,11,15
1004.33,3.34,-8.0,-5.13,2.38,-1.2042802578998901,-0.9274206491299266,2009,1,11,18
1004.11,2.93,-9.66,-8.67,3.0,-1.355021266493113,0.4246379250036435,2009,1,11,21
1003.34,2.72,-10.57,-8.96,4.38,-2.6951543364480206,0.28327213545534163,2009,1,12,0
1002.1,2.72,-10.61,-8.75,4.63,-2.6036719482007626,-0.29204860238057284,2009,1,12,3
1001.04,2.37,-12.27,-10.76,4.0,-2.861150852244681,-0.9021173985128192,2009,1,12,6
1000.43,2.6,-11.17,-8.68,3.63,-2.527360746495228,-0.9499724506926943,2009,1,12,9
998.86,3.09,-9.0,-3.64,3.13,-1.3288635409909926,-1.6646386062520837,2009,1,12,12
996.27,3.67,-6.78,2.32,2.75,-1.5899177908689102,-0.6294929850907984,2009,1,12,15
995.52,3.32,-8.06,-2.76,4.13,-2.397214442832877,-1.2639077953211058,2009,1,12,18
994.89,2.89,-9.85,-3.44,3.63,-2.117210416972197,0.8726511618421282,2009,1,12,21
993.54,2.75,-10.44,-5.19,3.25,-2.181178695022383,0.2871576228841135,2009,1,13,0
991.83,2.92,-9.68,-4.76,4.75,-3.4691068543497634,0.078725047497553,2009,1,13,3
990.82,2.97,-9.49,-4.26,3.0,-0.9409888512453713,0.3936241631708049,2009,1,13,6
990.91,3.24,-8.39,-2.49,2.38,-0.411083308423229,1.1804704627968514,2009,1,13,9
990.29,3.46,-7.53,2.58,4.5,-1.9997719320941907,0.34901607356720143,2009,1,13,12
988.84,3.87,-6.09,4.89,3.13,-2.1225297902014444,-0.17823380629783198,2009,1,13,15
988.75,3.69,-6.7,-0.8,2.63,-1.5193204191500833,-0.9273971446762251,2009,1,13,18
988.63,3.35,-7.96,-2.46,4.63,-3.348158223404887,0.11106984760156248,2009,1,13,21
988.02,3.26,-8.3,-4.41,2.75,-1.543406345837581,-0.9832582832746871,2009,1,14,0
987.1,3.15,-8.73,-6.73,2.25,-1.1084544667677236,-0.980677671359291,2009,1,14,3
986.69,2.73,-10.54,-9.4,1.75,-1.0450393378175595,-0.22976680006875783,2009,1,14,6
986.97,2.58,-11.24,-10.01,1.75,0.025283029295512637,0.629492468922101,2009,1,14,9
987.15,3.06,-9.1,-4.68,1.5,-0.7391785074718578,0.03485877352513546,2009,1,14,12
986.75,3.51,-7.35,-1.69,0.88,-0.31540916893493287,-0.32096270211938177,2009,1,14,15
987.97,4.39,-4.44,-1.51,0.5,-0.06456724741638238,0.14639354685597197,2009,1,14,18
989.15,4.99,-2.75,-1.1,1.0,-0.3499978676802266,-0.0012217279953281874,2009,1,14,21
990.2,5.72,-0.9,0.44,3.25,-1.1906301598365878,-1.0386528883546713,2009,1,15,0
991.44,5.82,-0.65,0.16,0.75,-0.2579997840415561,-0.3314153156305701,2009,1,15,3
992.66,5.84,-0.61,0.05,0.88,-0.24214579028215777,-0.062172471791213754,2009,1,15,6
993.67,5.77,-0.78,0.04,1.25,-0.3366043127781226,0.21609612819106194,2009,1,15,9
994.72,5.95,-0.35,1.99,1.0,-0.3363755848407557,0.3282551841525729,2009,1,15,12
994.33,6.16,0.12,4.52,1.0,0.6535938245415275,0.2506294326713824,2009,1,15,15
995.6,5.42,-1.63,-0.48,0.75,0.23263587426586865,0.17314892435286727,2009,1,15,18
996.79,4.65,-3.68,-3.21,0.88,-0.22961861782122653,0.013239726200700496,2009,1,15,21
997.57,4.43,-4.33,-4.03,2.0,-1.3021193780227844,0.8949218543412364,2009,1,16,0
997.92,4.17,-5.12,-4.84,1.13,-0.4406502647797946,0.09125428291043075,2009,1,16,3
998.46,4.19,-5.06,-4.73,1.25,-0.5167837840292535,-0.2633144898489368,2009,1,16,6
998.93,4.26,-4.83,-4.51,2.5,-1.4839041833856628,-0.37273096803261396,2009,1,16,9
998.62,4.73,-3.45,-2.85,1.88,-1.2464814169063947,-0.09372340853290974,2009,1,16,12
996.91,5.45,-1.54,1.12,1.5,-0.9915951887493553,-0.3453099790755123,2009,1,16,15
996.91,5.14,-2.34,-0.72,2.0,-1.4181874851672285,-0.6254952093462043,2009,1,16,18
995.99,4.62,-3.75,-2.03,4.25,-2.9000869307443686,-0.8425531402384713,2009,1,16,21
995.14,4.56,-3.95,-2.3,4.0,-2.7295019170136356,-0.3351406943641563,2009,1,17,0
994.77,4.62,-3.76,-1.99,3.5,-2.428766724015916,-0.23386363614934683,2009,1,17,3
993.62,4.6,-3.83,-2.1,3.75,-2.6499838552931445,0.00925022625034264,2009,1,17,6
993.55,5.27,-2.0,-1.06,4.0,-2.479694048554518,-0.03895414693331475,2009,1,17,9
992.79,5.48,-1.47,0.7,3.25,-2.271091981868739,0.711717085569487,2009,1,17,12
991.2,5.9,-0.48,2.11,3.13,-1.6807568778578492,0.7238482696902268,2009,1,17,15
990.31,6.02,-0.21,1.7,3.0,-1.1574177800840584,1.0755389729550904,2009,1,17,18
989.04,5.89,-0.49,1.05,5.63,-3.766743007963126,-0.3163022477961525,2009,1,17,21
987.96,6.06,-0.1,1.94,2.13,-1.5179127201090015,-0.40104983995919086,2009,1,18,0
986.99,5.98,-0.29,1.3,1.25,-0.8115600865096432,-0.17398340721017178,2009,1,18,3
983.91,5.76,-0.8,0.04,3.25,-1.7593486097149726,-0.3803846336196995,2009,1,18,6
980.84,6.17,0.15,1.84,3.5,-2.4719253033212163,-0.5389668772756914,2009,1,18,9
976.92,6.25,0.31,5.05,7.13,-5.216190314135056,-0.6774648379979794,2009,1,18,12
973.95,5.79,-0.72,3.72,9.13,-6.157720134002404,-1.3313462176689481,2009,1,18,15
972.46,6.2,0.21,3.07,3.75,-2.4777251888816627,0.6824792219410992,2009,1,18,18
974.62,6.23,0.28,3.3,2.75,-1.2246847991045144,-1.2077032511516785,2009,1,18,21
978.22,5.6,-1.18,2.89,6.0,-2.2867887867058387,-2.754450407067885,2009,1,19,0
979.99,5.11,-2.42,0.89,1.63,-0.8449126050998512,-0.38861637863500154,2009,1,19,3
979.09,5.39,-1.7,1.52,3.25,-2.1787714267933085,-1.0532592604810322,2009,1,19,6
976.93,5.03,-2.63,0.91,3.38,-2.2691149611416046,0.06338211990250173,2009,1,19,9
972.27,5.65,-1.06,3.12,4.63,-3.4162033723699374,0.1611040614269774,2009,1,19,12
968.07,6.25,0.32,3.43,12.0,-7.315318419244388,0.6014286533444997,2009,1,19,15
966.55,6.61,1.08,3.63,8.63,-6.147263409784136,-0.6352578773451834,2009,1,19,18
966.52,7.03,1.94,4.01,7.0,-3.7793111346018886,0.6800054028272003,2009,1,19,21
966.01,7.23,2.33,4.08,2.5,1.0874533160018791,0.5958567659400346,2009,1,20,0
965.99,7.26,2.39,6.68,10.63,-5.092176517515523,-2.538865556594812,2009,1,20,3
968.16,6.53,0.92,5.33,5.0,-2.0968584479253294,-2.075014373290985,2009,1,20,6
970.14,6.39,0.63,3.75,2.63,-1.8966556730551538,-0.11268210979432743,2009,1,20,9
972.14,6.28,0.37,4.25,2.75,0.5439609866959526,-1.0018515084346409,2009,1,20,12
973.14,5.99,-0.26,4.23,2.0,-1.0693144400884993,-0.9036407628135305,2009,1,20,15
974.51,5.38,-1.73,1.57,1.38,-0.6463038105813943,-0.2416430930690324,2009,1,20,18
976.05,5.23,-2.11,-0.83,1.25,-0.5196673642308208,-0.4983430851866928,2009,1,20,21
977.43,4.68,-3.61,-2.96,2.25,-1.2691470600988934,0.04653751005732655,2009,1,21,0
978.06,4.68,-3.6,-3.19,1.88,0.6719774957306531,0.7133345955661761,2009,1,21,3
978.07,4.78,-3.31,-2.75,0.75,0.4489844640643228,0.030215079494729583,2009,1,21,6
979.76,5.01,-2.68,-2.06,1.25,-0.38106753906942237,-0.1992172951015404,2009,1,21,9
980.6,5.25,-2.05,-0.25,1.13,-0.2307417017490092,0.4548167400986592,2009,1,21,12
980.65,5.67,-1.01,1.3,1.25,-0.5933932857077319,-0.14136622113143596,2009,1,21,15
981.52,5.61,-1.15,0.32,0.5,-0.01625903522425715,0.10879174496981085,2009,1,21,18
982.49,5.07,-2.53,-1.79,2.0,-0.7223220304793826,-1.0201719876001998,2009,1,21,21
983.51,4.52,-4.05,-3.62,1.25,-0.4638383443425587,0.27650314703010886,2009,1,22,0
983.05,4.59,-3.86,-3.47,1.38,-0.8150479834732474,-0.08998213509465723,2009,1,22,3
982.02,4.59,-3.85,-3.46,2.0,-0.7822534622519333,0.606777983116447,2009,1,22,6
981.28,4.66,-3.66,-3.07,3.75,-1.590990257669732,1.5909902576697321,2009,1,22,9
979.32,5.44,-1.57,2.0,8.0,-5.606309962460212,0.39203138244198543,2009,1,22,12
976.27,5.26,-2.04,3.05,7.38,-5.0892337039321145,-0.8516456462410956,2009,1,22,15
974.88,4.9,-2.99,0.24,3.88,-2.5474501094066695,-0.4675445861989495,2009,1,22,18
972.96,4.72,-3.48,-1.11,5.25,-3.9912058731682,-0.26509560159999956,2009,1,22,21
971.4,4.67,-3.63,-0.75,7.5,-5.63182675386532,0.8115586327843619,2009,1,23,0
967.93,4.5,-4.1,-1.5,5.38,-3.7144530959191244,-0.8917612899295598,2009,1,23,3
963.88,4.36,-4.54,-1.42,4.5,-2.500826693439175,-0.21439647707479206,2009,1,23,6
958.25,4.29,-4.74,-0.24,6.75,-4.248731331570029,0.1038367571487775,2009,1,23,9
952.39,4.49,-4.16,3.02,13.25,-8.37918315119797,-0.11700307124203652,2009,1,23,12
946.05,5.89,-0.5,1.55,13.5,-9.180539536376669,0.4168858609078419,2009,1,23,15
944.99,6.98,1.85,4.79,9.75,-6.458071623986443,-0.15783187086614023,2009,1,23,18
948.43,7.22,2.32,5.68,6.0,-3.4166600115833283,-1.5211950451034915,2009,1,23,21
952.33,5.8,-0.71,3.93,11.0,-6.2495306134734845,-3.9813900978499626,2009,1,24,0
955.35,6.42,0.69,2.03,6.75,-4.092494909876098,-2.391460936883191,2009,1,24,3
957.5,6.03,-0.17,2.24,3.5,-1.622903871433952,-2.018485329172518,2009,1,24,6
959.13,5.27,-2.0,1.91,2.38,-0.8763843731425814,-0.3399270958771667,2009,1,24,9
960.78,5.09,-2.48,3.82,6.25,-4.292722825688341,-2.0567281642974358,2009,1,24,12
962.02,4.85,-3.11,4.09,2.88,-0.7275631589302305,-1.3799463213355307,2009,1,24,15
965.11,5.05,-2.57,3.19,1.5,0.482149535324388,-0.7121318877753452,2009,1,24,18
968.2,5.13,-2.37,0.84,1.25,-0.721563363007847,-0.23863426653522776,2009,1,24,21
971.14,5.3,-1.92,0.29,2.13,-0.24864724069422195,0.6650372543663623,2009,1,25,0
972.99,5.51,-1.41,0.5,1.38,-0.48565045743532065,-0.33502780958132977,2009,1,25,3
973.82,5.4,-1.68,-0.59,2.63,-1.3079792435797217,-1.0859052897765158,2009,1,25,6
975.0,5.52,-1.38,-0.26,1.5,-0.8365428948374152,-0.07613136736613496,2009,1,25,9
974.81,5.91,-0.45,3.19,2.0,-1.0308641618616035,-0.13754664586740695,2009,1,25,12
973.77,5.62,-1.14,5.28,3.5,-2.0536607447761557,0.3880432261558564,2009,1,25,15
974.1,5.26,-2.02,1.72,0.63,-0.13248745403835058,0.10652264793195831,2009,1,25,18
974.92,4.9,-2.99,-1.76,1.25,-0.39476040115961,-0.49098291790682874,2009,1,25,21
975.21,4.58,-3.89,-3.28,2.0,-1.098323079326265,-0.6573328026344578,2009,1,26,0
975.0,4.28,-4.78,-4.29,0.5,-0.03567190118420856,0.018097388372471317,2009,1,26,3
975.62,4.03,-5.56,-5.13,1.38,-0.8023377494388076,0.48974905393014195,2009,1,26,6
976.72,3.9,-6.0,-5.58,2.13,1.1630219599775307,-0.45812653340537157,2009,1,26,9
977.21,4.74,-3.43,-3.08,2.88,2.1048088208098426,0.48515959007431814,2009,1,26,12
977.27,4.91,-2.94,-2.56,3.25,2.3708438803037426,0.3729601791428851,2009,1,26,15
978.5,4.99,-2.74,-2.18,2.63,1.0341599982106204,0.8677632730768281,2009,1,26,18
979.78,5.29,-1.95,-1.5,2.38,1.2112360412025471,1.0145478069031453,2009,1,26,21
980.97,5.35,-1.79,-1.14,1.25,0.47432770791402873,0.15815570019769704,2009,1,27,0
981.76,5.47,-1.5,-1.2,1.75,0.6409934545609666,0.6738155468746608,2009,1,27,3
983.11,5.56,-1.29,-1.09,2.75,1.4226922184245487,1.069741488227056,2009,1,27,6
985.01,5.57,-1.26,-1.16,4.0,2.4469437464424346,1.769990480693685,2009,1,27,9
986.57,5.52,-1.38,-1.29,4.13,2.433115557180076,0.9164871441587641,2009,1,27,12
987.36,5.5,-1.42,-1.36,4.38,2.4139003814424482,0.9387145191547872,2009,1,27,15
989.45,5.46,-1.54,-1.5,3.88,2.5868385216640633,0.8076920594105672,2009,1,27,18
990.24,5.36,-1.77,-1.75,3.75,2.0318002643567934,1.5573656236605664,2009,1,27,21
990.97,5.4,-1.68,-1.68,0.0,0.0,0.0,2009,1,28,0
991.29,5.39,-1.69,-1.69,0.0,0.0,0.0,2009,1,28,3
991.59,5.01,-2.7,-2.7,0.0,0.0,0.0,2009,1,28,6
992.71,4.93,-2.89,-2.84,0.0,0.0,0.0,2009,1,28,9
992.95,4.91,-2.97,-2.64,0.0,0.0,0.0,2009,1,28,12
992.74,4.7,-3.55,-2.41,0.0,0.0,0.0,2009,1,28,15
994.28,4.6,-3.81,-2.48,0.0,0.0,0.0,2009,1,28,18
994.53,4.64,-3.71,-2.94,0.0,0.0,0.0,2009,1,28,21
995.05,4.44,-4.29,-2.74,0.0,0.0,0.0,2009,1,29,0
995.39,4.38,-4.47,-2.41,0.0,0.0,0.0,2009,1,29,3
995.7,4.57,-3.92,-3.14,0.0,0.0,0.0,2009,1,29,6
996.64,4.59,-3.87,-3.07,3.88,2.125436691364323,1.3723770877576904,2009,1,29,9
997.23,4.54,-4.01,-1.9,4.5,1.0275519874111751,2.1689022368855966,2009,1,29,12
997.11,4.57,-3.91,-1.86,3.63,0.738603297260712,1.630510708114364,2009,1,29,15
998.03,4.6,-3.83,-1.96,3.25,-0.03835851969966541,1.5695313389564576,2009,1,29,18
998.58,4.57,-3.91,-2.1,3.13,-0.09613192502247721,1.6672308337454271,2009,1,29,21
998.82,4.37,-4.5,-1.96,3.5,0.36972685924680027,1.505258133859936,2009,1,30,0
998.98,4.17,-5.11,-2.1,2.88,0.41680721382823754,1.5447562094067602,2009,1,30,3
998.83,4.1,-5.35,-2.55,3.75,-0.6588535605074007,2.359748288654263,2009,1,30,6
999.74,3.96,-5.78,-3.03,3.38,1.2911548395841768,1.5011059856713511,2009,1,30,9
999.94,3.93,-5.91,-2.79,3.63,1.0207594463617997,1.926252878690426,2009,1,30,12
998.53,4.06,-5.47,-2.45,7.63,2.1433360613592316,2.5615835977139407,2009,1,30,15
998.83,4.05,-5.51,-2.03,3.75,0.5777641263802697,1.799524552282642,2009,1,30,18
998.34,4.45,-4.26,-2.5,3.88,2.773448855474468,1.6942495229650696,2009,1,30,21
997.42,4.52,-4.05,-2.48,2.63,1.8422247935788665,1.028740885706067,2009,1,31,0
996.64,4.72,-3.47,-2.43,1.88,0.9264594784204656,0.809056756256864,2009,1,31,3
995.97,4.84,-3.14,-2.23,3.0,1.165290750008974,1.3189759163622068,2009,1,31,6
995.66,4.84,-3.15,-1.91,2.75,1.0829907728549617,1.1504481674160785,2009,1,31,9
994.94,5.05,-2.58,-1.47,4.38,3.1407422636053415,1.77984213727038,2009,1,31,12
993.37,4.86,-3.1,-1.19,7.0,4.376078682406338,2.9184816883764766,2009,1,31,15
993.1,4.02,-5.61,-1.83,4.0,1.4813466443700654,1.733208619645525,2009,1,31,18
991.45,4.55,-3.97,-2.49,1.88,1.2207445352180275,0.44697066988262457,2009,1,31,21
989.86,4.19,-5.04,-2.97,6.5,3.8585786195442098,2.4487284530540143,2009,2,1,0
987.99,3.86,-6.12,-3.53,3.75,2.451241354119732,1.473436739006212,2009,2,1,3
986.39,4.05,-5.5,-4.19,3.75,2.368028989443892,1.5858558273542207,2009,2,1,6
986.55,3.78,-6.42,-4.37,5.5,1.979074886311511,1.6395617080095148,2009,2,1,9
986.24,4.06,-5.45,-3.09,7.5,3.2064202799916752,3.3261492732675286,2009,2,1,12
984.68,3.87,-6.08,-2.82,8.0,3.9449671320732422,3.946344425777079,2009,2,1,15
984.55,3.85,-6.18,-3.27,9.88,3.2070893387387946,4.0550558532957295,2009,2,1,18
983.43,4.14,-5.22,-2.9,7.0,2.3706073918389605,3.1345048402831477,2009,2,1,21
982.74,4.43,-4.33,-2.54,5.13,2.6817353055862645,2.138503156596255,2009,2,2,0
981.98,4.02,-5.58,-2.51,3.88,1.2982910059520338,1.143389900193305,2009,2,2,3
981.76,3.87,-6.1,-3.79,1.13,-0.45806564503546354,-0.26660057171402457,2009,2,2,6
982.45,3.89,-6.02,-3.8,0.88,-0.228800571533836,0.16140104852754214,2009,2,2,9
980.78,4.63,-3.75,0.43,1.5,-0.9550854804756366,0.09701404529562895,2009,2,2,12
978.53,5.55,-1.32,3.71,5.88,0.7950583213584771,2.8096765411055133,2009,2,2,15
977.67,5.47,-1.49,1.48,2.13,0.8199949613506894,0.91679237745494,2009,2,2,18
977.22,5.4,-1.69,0.21,2.38,1.4667269613843181,0.262320454307941,2009,2,2,21
976.35,5.23,-2.11,-0.9,0.63,-0.019765734037912614,0.09802711746217219,2009,2,3,0
975.08,4.87,-3.07,-2.48,0.88,-0.14950136553125248,-0.21271892653050606,2009,2,3,3
974.46,4.78,-3.32,-2.8,0.5,-0.15800713086810214,0.13832478662492287,2009,2,3,6
974.34,4.93,-2.9,-2.02,0.63,0.2523273351479463,0.2567701616955054,2009,2,3,9
974.14,5.64,-1.09,1.19,0.63,-0.2788476316124717,0.02537712245537839,2009,2,3,12
972.69,6.63,1.13,7.64,1.38,-0.8322700082091511,-0.43695152298114204,2009,2,3,15
972.5,6.04,-0.15,2.65,1.0,0.46419270222418907,0.496915621813005,2009,2,3,18
972.77,5.4,-1.68,-0.73,0.88,-0.4395812174960174,-0.01919253044074796,2009,2,3,21
972.68,4.87,-3.06,-2.64,0.5,-0.0812300874688472,0.07417326263420959,2009,2,4,0
972.42,4.49,-4.14,-3.83,1.25,-0.6654915975043527,-0.3873253589052809,2009,2,4,3
971.96,4.21,-5.0,-4.72,1.5,-1.0133039461222935,-0.4280363451542268,2009,2,4,6
972.53,4.18,-5.09,-4.8,1.13,-0.5193812994715569,-0.4389112276522863,2009,2,4,9
972.16,5.76,-0.81,0.35,1.38,-0.47960872678671684,0.5635383475771851,2009,2,4,12
971.1,6.33,0.49,4.43,2.63,1.9380243167368683,0.7272975647811522,2009,2,4,15
971.81,5.89,-0.51,1.08,1.75,0.7882310637664629,0.13671792169862132,2009,2,4,18
972.51,5.54,-1.33,-0.38,1.5,-0.705410935179097,-0.4373733102622423,2009,2,4,21
972.48,6.19,0.19,0.78,2.0,-1.3055009396377302,-0.195108422691086,2009,2,5,0
972.85,6.01,-0.22,0.08,2.25,-1.3783796076218946,-0.6165789951758911,2009,2,5,3
972.42,5.55,-1.31,-1.1,2.25,-1.378562480394815,-0.5653896776982184,2009,2,5,6
